e326bb12-37ce-40bb-b118-ad3119e66746_Fresh-86-unclassSeqs	5980.consensus	77.8	27	6	0	207	287	322	348	4.02e-10	50.4
8bf81f2b-ce42-4c0c-8ee1-67c10e6f75ff_Fresh-86-unclassSeqs	7141.consensus	42.1	114	44	3	1	276	31	144	2.09e-20	79.0
330ab878-877d-49f4-b35a-ff0279a3fb7e_Fresh-86-unclassSeqs	5866.consensus	45.2	73	1	1	70	288	46	79	3.69e-11	53.9
78bc930a-53be-4ee3-825f-e0e5a067ff61_Fresh-86-unclassSeqs	7111.consensus	38.9	95	53	2	20	295	151	243	2.94e-12	62.8
2fc6b5d4-f237-4878-a430-21f80b7b33bd_Fresh-86-unclassSeqs	6366.consensus	76.0	25	6	0	1159	1233	544	568	1.49e-06	44.3
8468e474-53ac-4cf3-8b6a-be9b1fb15e15_Fresh-86-unclassSeqs	6056.consensus	67.7	31	10	0	819	911	132	162	2.67e-07	46.2
eed388cb-658f-42e4-94af-95dfc21f49ab_Fresh-86-unclassSeqs	6366.consensus	67.9	84	26	1	3	251	428	511	8.75e-34	117.0
4121cbf0-27c4-4546-9b96-d8befc9bb1e8_Fresh-86-unclassSeqs	6056.consensus	61.4	44	17	0	918	787	86	129	5.3e-09	51.6
24c56c93-946e-4fee-bd14-48b9102567d2_Fresh-86-unclassSeqs	7313.consensus	33.7	98	61	2	282	1	189	286	2.72e-13	64.7
24c56c93-946e-4fee-bd14-48b9102567d2_Fresh-86-unclassSeqs	5614.consensus	34.2	117	68	5	330	1	124	238	3.91e-11	58.5
ecd30117-ddf5-4e8f-ada3-7457bdfc63d9_Fresh-86-unclassSeqs	7279.consensus	47.1	51	27	0	1888	2040	7	57	2.07e-08	50.4
faf565e4-bc7b-44a1-8a35-948aec06b33f_Fresh-86-unclassSeqs	6717.consensus	70.3	37	11	0	220	330	402	438	5.3e-12	56.6
