Region	avg_length	#_sequences_post_filter
alignsrawAlignsIntrons/in_ycf3_1.fasta	750.0508474576271	118
alignsrawAlignsIntrons/in_clpP_1.fasta	624.0084745762712	118
alignsrawAlignsIntrons/in_trnK_1.fasta	266.228813559322	118
alignsrawAlignsIntrons/in_ycf3_2.fasta	721.2796610169491	118
alignsrawAlignsIntrons/in_trnA.fasta	810.9830508474577	118
alignsrawAlignsIntrons/in-trnG.fasta	692.6016949152543	118
alignsrawAlignsIntrons/in_trnK_2.fasta	707.0508474576271	118
alignsrawAlignsIntrons/in_clpP_2.fasta	792.6779661016949	118
alignsrawAlignsIntrons/in_trnI.fasta	722.0338983050848	118
alignsrawAlignsIntrons/in_petB.fasta	747.6440677966102	118
alignsrawAlignsIntrons/in_rps12.fasta	535.9237288135594	118
alignsrawAlignsIntrons/in_rpl2.fasta	663.457627118644	118
alignsrawAlignsIntrons/in_petD.fasta	738.6864406779661	118
alignsrawAlignsIntrons/in_ndhA.fasta	1158.1864406779662	118
alignsrawAlignsIntrons/in_rps16.fasta	855.9491525423729	118
alignsrawAlignsIntrons/in_trnV.fasta	571.5677966101695	118
alignsrawAlignsIntrons/in_rpoC1.fasta	724.9745762711865	118
alignsrawAlignsIntrons/in_atpF.fasta	695.0593220338983	118
alignsrawAlignsIntrons/in_ndhB.fasta	679.0169491525423	118
alignsrawAlignsIntrons/in_trnL.fasta	496.99152542372883	118
alignsrawAlignsIntrons/in_rpl16.fasta	1015.1779661016949	118
