Region	avg_length	#_sequences_post_filter
alignsfilteredIntergenic/Start-trnH_filtered.fasta	13.677966101694915	110
alignsfilteredIntergenic/trnW-trnP_filtered.fasta	159.0	118
alignsfilteredIntergenic/ycf1-rpl32_filtered.fasta	695.2796610169491	118
alignsfilteredIntergenic/psaI-ycf4_filtered.fasta	438.99152542372883	118
alignsfilteredIntergenic/rps4-trnT_filtered.fasta	331.14406779661016	118
alignsfilteredIntergenic/psbT-psbN_filtered.fasta	65.0	118
alignsfilteredIntergenic/ycf3-trnS_filtered.fasta	757.3813559322034	118
alignsfilteredIntergenic/ndhD-psaC_filtered.fasta	88.97457627118644	118
alignsfilteredIntergenic/petB-petD_filtered.fasta	178.0	118
alignsfilteredIntergenic/petA-psbJ_filtered.fasta	970.5677966101695	118
alignsfilteredIntergenic/psbH-petB_filtered.fasta	128.0	118
alignsfilteredIntergenic/trnQ-psbK_filtered.fasta	326.90677966101697	118
alignsfilteredIntergenic/trnM-atpE_filtered.fasta	206.57627118644066	118
alignsfilteredIntergenic/psbJ-psbL_filtered.fasta	125.0	118
alignsfilteredIntergenic/trnF-ndhJ_filtered.fasta	549.2457627118644	118
alignsfilteredIntergenic/trnT-psbD_filtered.fasta	1130.0593220338983	118
alignsfilteredIntergenic/petG-trnW_filtered.fasta	111.94915254237289	118
alignsfilteredIntergenic/rpl32-sprA_filtered.fasta	45.652542372881356	118
alignsfilteredIntergenic/rpl14-rpl16_filtered.fasta	119.65254237288136	118
alignsfilteredIntergenic/trnD-trnY_filtered.fasta	103.0	118
alignsfilteredIntergenic/rps11-rpl36_filtered.fasta	99.0	118
alignsfilteredIntergenic/ycf2-ycf15-blatN_filtered.fasta	598.457627118644	118
alignsfilteredIntergenic/trnR-atpA_filtered.fasta	109.96610169491525	118
alignsfilteredIntergenic/rpl16-rps3_filtered.fasta	133.97457627118644	118
alignsfilteredIntergenic/petD-rpoA_filtered.fasta	173.83050847457628	118
alignsfilteredIntergenic/psbC-trnS_filtered.fasta	234.84745762711864	118
alignsfilteredIntergenic/trnH-psbA_filtered.fasta	390.58474576271186	118
alignsfilteredIntergenic/rps2-rpoC2_filtered.fasta	185.0	118
alignsfilteredIntergenic/petL-petG_filtered.fasta	160.864406779661	118
alignsfilteredIntergenic/rpl36-infA-rps8_filtered.fasta	288.6271186440678	118
alignsfilteredIntergenic/psaA-ycf3_filtered.fasta	701.2033898305085	118
alignsfilteredIntergenic/trnE-trnT_filtered.fasta	532.4152542372881	118
alignsfilteredIntergenic/rrn16-trnI_filtered.fasta	299.41525423728814	118
alignsfilteredIntergenic/psbE-petL_filtered.fasta	942.9661016949152	118
alignsfilteredIntergenic/trnC-petN_filtered.fasta	618.0508474576271	118
alignsfilteredIntergenic/atpI-rps2_filtered.fasta	228.0084745762712	118
alignsfilteredIntergenic/cemA-petA_filtered.fasta	196.88983050847457	118
alignsfilteredIntergenic/psbL-psbF_filtered.fasta	22.0	118
alignsfilteredIntergenic/psbF-psbE_filtered.fasta	9.0	118
alignsfilteredIntergenic/ycf4-cemA_filtered.fasta	673.8559322033898	118
alignsfilteredIntergenic/clpP-psbB_filtered.fasta	436.0508474576271	118
alignsfilteredIntergenic/sprA-trnL_filtered.fasta	549.0593220338983	118
alignsfilteredIntergenic/rps15-ycf1_filtered.fasta	359.10169491525426	118
alignsfilteredIntergenic/rpl22-rps19_filtered.fasta	50.0	118
alignsfilteredIntergenic/psbN-psbH_filtered.fasta	110.0	118
alignsfilteredIntergenic/petN-psbM_filtered.fasta	1053.2118644067796	118
alignsfilteredIntergenic/trnL-ccsA_filtered.fasta	98.0	118
alignsfilteredIntergenic/psbK-psbI_filtered.fasta	333.64406779661016	118
alignsfilteredIntergenic/ndhB-rps7_filtered.fasta	274.728813559322	118
alignsfilteredIntergenic/trnG-trnR_filtered.fasta	170.97457627118644	118
alignsfilteredIntergenic/ccsA-ndhD_filtered.fasta	204.0677966101695	118
alignsfilteredIntergenic/psbI-trnS_filtered.fasta	108.91525423728814	118
alignsfilteredIntergenic/psaB-psaA_filtered.fasta	25.0	118
alignsfilteredIntergenic/rps14-psaB_filtered.fasta	110.0	118
alignsfilteredIntergenic/ndhI-ndhA_filtered.fasta	84.0	118
alignsfilteredIntergenic/psbA-trnK_filtered.fasta	199.01694915254237	118
alignsfilteredIntergenic/trnP-psaJ_filtered.fasta	415.93220338983053	118
alignsfilteredIntergenic/rpl20-rps12_filtered.fasta	739.457627118644	118
alignsfilteredIntergenic/trnI-ycf2_filtered.fasta	88.0	118
alignsfilteredIntergenic/ndhC-trnV_filtered.fasta	1020.0	118
alignsfilteredIntergenic/rps18-rpl20_filtered.fasta	197.16101694915255	118
alignsfilteredIntergenic/psbZ-trnG_filtered.fasta	267.9830508474576	118
alignsfilteredIntergenic/rpl33-rps18_filtered.fasta	146.90677966101694	118
alignsfilteredIntergenic/trnS-trnG_filtered.fasta	569.2542372881356	118
alignsfilteredIntergenic/rrn4.5-rrn5_filtered.fasta	229.90677966101694	118
alignsfilteredIntergenic/rpoA-rps11_filtered.fasta	65.0	118
alignsfilteredIntergenic/accD-psaI_filtered.fasta	635.5	118
alignsfilteredIntergenic/trnS-psbZ_filtered.fasta	332.0	118
alignsfilteredIntergenic/atpA-atpF_filtered.fasta	54.067796610169495	118
alignsfilteredIntergenic/trnK-rps16_filtered.fasta	591.8305084745763	118
alignsfilteredIntergenic/ndhH-rps15_filtered.fasta	96.0	118
alignsfilteredIntergenic/rrn23-rrn4.5_filtered.fasta	100.99152542372882	118
alignsfilteredIntergenic/trnV-rrn16_filtered.fasta	221.0	118
