02907f4c-3a42-423b-8957-cdd6ac39e945_145-solanum-trizygum	7583.consensus	61.8	238	80	3	1506	2195	3	237	1.13e-85	266.0
56b0a0ff-ef11-40e7-8ba0-8421ce309a7e_145-solanum-trizygum	5366.consensus	38.5	400	233	7	1220	2392	28	423	8.430000000000001e-64	218.0
e545749e-f767-42d8-8314-8097be435613_145-solanum-trizygum	6098.consensus	60.6	175	60	1	64	588	505	670	2.1000000000000002e-58	209.0
fa3a23ad-c988-43fb-8dd8-04069d4069b6_145-solanum-trizygum	6389.consensus	52.3	174	82	1	460	981	25	197	1.24e-47	167.0
48194011-1ba1-498c-9dc9-8832c644f94b_145-solanum-trizygum	7583.consensus	56.9	153	58	3	494	45	90	237	1.52e-44	155.0
c5e208f0-d694-4613-ad58-8ccb85689a09_145-solanum-trizygum	5816.consensus	70.8	113	32	1	13	351	402	513	3.62e-44	151.0
4bfc9812-9666-4419-83cb-abf15619ce00_145-solanum-trizygum	4603.consensus	49.4	176	78	5	3	530	482	646	1.47e-40	139.0
ce0908b3-7d90-4b6a-b81f-e346e5ff095a_145-solanum-trizygum	5351.consensus	63.9	97	35	0	1739	1449	19	115	1.32e-34	124.0
4b2b685c-5c2c-4f2f-b5f5-e7ba3655eabb_145-solanum-trizygum	5660.consensus	62.6	91	26	1	539	267	213	295	2.25e-33	114.0
4e6a66ea-5c42-454e-9ce8-2c658737ec87_145-solanum-trizygum	6924.consensus	92.6	54	4	0	103	264	333	386	5.51e-33	113.0
abec43da-0f04-4df9-8a60-f1e25bb43620_145-solanum-trizygum	6148.consensus	74.7	83	20	1	376	128	74	155	1.26e-32	117.0
05481639-ec3f-4e4b-bc8e-6ff4b79e2634_145-solanum-trizygum	6876.consensus	58.3	115	47	1	148	489	103	217	1.44e-31	114.0
6513f768-007e-4d23-80e7-f8db9b530c08_145-solanum-trizygum	5264.consensus	49.3	136	57	4	85	489	354	478	2.23e-31	113.0
2cba5e31-8fb3-4bfa-b9e9-d581e9521526_145-solanum-trizygum	5821.consensus	92.3	52	4	0	2	157	114	165	2.93e-30	107.0
e63c1857-dda1-4c45-9267-0c1412a13eb2_145-solanum-trizygum	5770.consensus	40.7	150	33	1	23	472	176	269	2.79e-28	107.0
151aab12-6ce4-45a7-8038-e746de0086f2_145-solanum-trizygum	5111.consensus	78.6	70	12	2	106	312	134	201	4.26e-27	100.0
69b25c4f-dfda-4b7d-973d-677ebdd46da2_145-solanum-trizygum	6295.consensus	63.1	65	24	0	73	267	187	251	1.7500000000000002e-26	95.9
883d4a83-4a60-4031-9348-f52bb12ce957_145-solanum-trizygum	6544.consensus	57.1	98	12	1	932	639	73	140	8.600000000000001e-26	105.0
def110e6-ceb3-4933-8739-0b3052b53cc7_145-solanum-trizygum	4603.consensus	82.7	52	9	0	201	356	44	95	1.13e-23	88.6
54333812-14b9-4c6c-98a5-f25d0f4538b6_145-solanum-trizygum	6528.consensus	85.4	41	6	0	125	3	27	67	1.15e-23	84.0
