318b0c4d-b639-4647-a9fb-d16a57669634_Fresh-116-unclassSeqs	5594.consensus	83.7	153	25	0	683	225	82	234	1.54e-95	276.0
955eb3ad-00c6-4b0c-8dfd-56d11948dd15_Fresh-116-unclassSeqs	5960.consensus	54.0	261	68	2	1529	2311	129	337	5.4599999999999995e-81	265.0
48aa5ecd-923e-43a1-a45e-8b1505dcdaa4_Fresh-116-unclassSeqs	4793.consensus	50.8	299	85	4	3333	4196	294	541	2.6e-77	269.0
bd85d91f-bcf6-4747-a5cd-a38480fc9a99_Fresh-116-unclassSeqs	6098.consensus	55.8	249	31	6	726	4	178	355	4.8699999999999996e-67	234.0
0ab36111-0c84-48d0-8b6a-a1cd2deb1b67_Fresh-116-unclassSeqs	5857.consensus	79.4	126	26	0	1132	755	1	126	2.43e-63	209.0
96c1ac47-bbcb-40d4-9a79-6c56ed19fe0c_Fresh-116-unclassSeqs	5273.consensus	71.0	138	40	0	604	1017	343	480	1.9900000000000002e-59	195.0
9b99e6c6-60e7-4cd2-8263-900ae7e2e89f_Fresh-116-unclassSeqs	4603.consensus	29.6	597	203	12	2275	503	340	725	2.89e-54	194.0
1b28c890-b1e9-41a3-84e4-465e13876839_Fresh-116-unclassSeqs	5812.consensus	31.0	458	91	8	1012	2364	152	391	4.02e-48	174.0
822c51cb-75fe-4fd3-a033-cfad5b08e7b1_Fresh-116-unclassSeqs	5644.consensus	79.5	83	17	0	595	843	154	236	3.75e-45	154.0
b3506166-50b0-4d24-8975-b255432ac977_Fresh-116-unclassSeqs	5426.consensus	43.4	219	29	1	3	659	366	489	4.15e-43	156.0
ab82fc06-849a-4ce5-817e-50e066007487_Fresh-116-unclassSeqs	5426.consensus	25.5	683	143	11	1349	3394	390	707	2.88e-42	160.0
723d4026-54f1-4601-8f05-ca46637c0cd3_Fresh-116-unclassSeqs	6226.consensus	64.6	113	36	2	1302	976	282	394	7.769999999999999e-42	150.0
28d4f35b-ce50-4142-a762-d03395726a63_Fresh-116-unclassSeqs	5428.consensus	65.9	126	35	3	1	375	167	285	2.64e-41	147.0
7ab3d788-5484-4953-b0d9-2a565cba88da_Fresh-116-unclassSeqs	6978.consensus	54.7	139	19	1	1064	648	171	265	3.82e-41	147.0
9d0f9fd1-ebe3-47d5-a4e7-ffa27614062c_Fresh-116-unclassSeqs	5257.consensus	57.8	161	53	1	1029	547	212	357	3.2699999999999998e-40	147.0
238a05ef-45f9-4f4d-9c78-0bbc5c1cb40b_Fresh-116-unclassSeqs	4691.consensus	89.0	73	8	0	1351	1133	24	96	4.64e-39	134.0
9588115c-f9ae-4b8e-be54-a6636647d3ff_Fresh-116-unclassSeqs	6462.consensus	64.1	117	11	1	5510	5160	207	292	3.1000000000000004e-38	140.0
